ObtenRelojDatosEmps X, 59, '2016-03-04', '15:00:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-04', '15:00:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-04', '15:01:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-04', '15:01:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '15:07:56', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '15:07:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-04', '16:50:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-04', '16:55:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-04', '16:55:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-04', '16:55:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-04', '16:55:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-04', '17:00:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '22:13:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-04', '22:13:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '22:46:59', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '22:47:02', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-04', '22:47:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-04', '22:57:50', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-04', '22:57:53', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '23:05:33', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '23:05:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '23:05:52', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-04', '23:06:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-05', '06:40:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-05', '06:40:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-05', '06:40:27', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-05', '06:40:30', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-05', '06:57:51', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-05', '06:57:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-05', '06:58:51', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-05', '06:58:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-05', '06:59:43', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-05', '07:05:16', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-05', '07:05:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-05', '07:10:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-05', '07:11:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-05', '07:11:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-05', '08:47:04', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-05', '08:47:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-05', '08:53:21', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-05', '08:54:07', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-05', '08:54:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-05', '08:54:18', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-05', '10:23:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-05', '10:23:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-05', '14:42:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-05', '14:42:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-05', '14:58:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-05', '14:58:40', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-05', '14:58:43', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-05', '15:00:24', 'N', ' ', ' '
ObtenRelojDatosEmps X, 81, '2016-03-05', '15:02:15', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-05', '15:04:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 59, '2016-03-05', '15:04:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-05', '15:05:43', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-05', '15:05:46', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-05', '15:16:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 10, '2016-03-05', '15:44:13', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-05', '16:03:53', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-05', '16:04:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-05', '16:04:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-05', '16:04:17', 'N', ' ', ' '
ObtenRelojDatosEmps X, 70, '2016-03-05', '16:04:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 44, '2016-03-05', '16:04:48', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-05', '22:31:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-05', '22:31:38', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-05', '22:50:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-05', '22:50:35', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-05', '22:50:53', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-05', '22:57:05', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-05', '22:57:11', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-05', '22:59:26', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-05', '22:59:33', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-05', '22:59:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-06', '06:39:57', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-06', '06:40:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-06', '06:45:14', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-06', '06:58:50', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-06', '07:06:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-06', '07:06:47', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-06', '07:12:41', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-06', '07:12:44', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-06', '08:50:22', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-06', '09:00:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-06', '09:00:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-06', '15:00:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 3, '2016-03-06', '15:00:12', 'N', ' ', ' '
ObtenRelojDatosEmps X, 77, '2016-03-06', '15:00:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-06', '15:00:36', 'N', ' ', ' '
ObtenRelojDatosEmps X, 83, '2016-03-06', '15:00:39', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-06', '15:05:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-06', '15:08:06', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-06', '15:08:09', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-06', '15:40:52', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-06', '22:47:42', 'N', ' ', ' '
ObtenRelojDatosEmps X, 80, '2016-03-06', '22:47:45', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-06', '22:57:20', 'N', ' ', ' '
ObtenRelojDatosEmps X, 64, '2016-03-06', '22:57:23', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-06', '22:59:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 55, '2016-03-06', '22:59:32', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-06', '23:05:33', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-06', '23:05:40', 'N', ' ', ' '
ObtenRelojDatosEmps X, 82, '2016-03-06', '23:05:43', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-07', '06:49:51', 'N', ' ', ' '
ObtenRelojDatosEmps X, 18, '2016-03-07', '06:49:54', 'N', ' ', ' '
ObtenRelojDatosEmps X, 24, '2016-03-07', '07:02:29', 'N', ' ', ' '
ObtenRelojDatosEmps X, 72, '2016-03-07', '07:03:21', 'N', ' ', ' '
